-99,0.039585,0.41535,0.26163,0.010357,512.37
-100,0.04006,0.41303,-0.016228,-0.00065011,498.99
-101,0.040563,0.41054,-0.29313,-0.01189,485.44
-102,0.040965,0.40793,-0.54955,-0.022512,472.64
-103,0.041378,0.40527,-0.76259,-0.031554,461.52
-104,0.041769,0.40262,-0.91365,-0.038162,452.88
-105,0.042123,0.40004,-0.99177,-0.041776,447.23
-106,0.042452,0.39762,-0.98715,-0.041907,444.99
-107,0.042723,0.39542,-0.89985,-0.038444,446.29
-108,0.043031,0.3935,-0.73561,-0.031654,450.92
-109,0.043249,0.39192,-0.50798,-0.02197,458.57
-110,0.043416,0.39074,-0.23663,-0.010274,468.52
-111,0.043647,0.39,0.056528,0.0024673,479.97
-112,0.043729,0.38972,0.34443,0.015061,491.83
-113,0.043839,0.38993,0.60344,0.026454,503.14
-114,0.043884,0.39061,0.80897,0.035501,512.73
-115,0.043921,0.39175,0.94485,0.041499,519.84
-116,0.043877,0.39333,0.99926,0.043845,523.8
-117,0.043813,0.39529,0.96819,0.042419,524.38
-118,0.043722,0.39758,0.85491,0.037378,521.65
-119,0.043578,0.40013,0.67058,0.029223,516.04
-120,0.043371,0.40286,0.43233,0.018751,508.31
-121,0.043149,0.4057,0.15927,0.0068725,499.29
-122,0.042919,0.40856,-0.1247,-0.0053521,489.98
-123,0.042547,0.41135,-0.39724,-0.016901,481.3
-124,0.042243,0.41401,-0.63631,-0.02688,474.06
-125,0.041862,0.41646,-0.82446,-0.034514,468.91
-126,0.04141,0.41863,-0.94843,-0.039274,466.29
-127,0.040986,0.42047,-0.99893,-0.040942,466.37
-128,0.040489,0.42192,-0.97413,-0.039442,469.18
-129,0.039999,0.42296,-0.87577,-0.03503,474.48
-130,0.039446,0.42355,-0.71461,-0.028188,481.8
-131,0.038882,0.42368,-0.50032,-0.019454,490.63
-132,0.038348,0.42336,-0.25047,-0.0096049,500.21
-133,0.037717,0.42258,0.016412,0.00061902,509.8
-134,0.037082,0.42138,0.28161,0.010443,518.62
-135,0.036557,0.41979,0.52569,0.019217,526
-136,0.035826,0.41785,0.73281,0.026254,531.25
-137,0.035247,0.41562,0.88637,0.031242,534.07
-138,0.034618,0.41316,0.97705,0.033823,534.15
-139,0.033971,0.41055,0.99858,0.033923,531.51
-140,0.033369,0.40785,0.94944,0.031682,526.41
-141,0.032735,0.40514,0.83394,0.027299,519.19
-142,0.032159,0.40251,0.65858,0.021179,510.39
-143,0.031582,0.40003,0.43923,0.013872,500.66
-144,0.030976,0.39776,0.1885,0.0058389,490.58
-145,0.030524,0.39577,-0.074651,-0.0022787,480.82
-146,0.029974,0.39412,-0.33205,-0.009953,471.93
-147,0.029516,0.39286,-0.56567,-0.016697,464.38
-148,0.029143,0.39202,-0.7597,-0.02214,458.5
-149,0.028757,0.39162,-0.90159,-0.025927,454.6
-150,0.028439,0.39167,-0.98274,-0.027948,452.76
-151,0.028196,0.39216,-0.99762,-0.028129,453.02
-152,0.028004,0.39307,-0.94642,-0.026504,455.35
-153,0.027847,0.39437,-0.83446,-0.023237,459.57
-154,0.027779,0.396,-0.66981,-0.018607,465.42
-155,0.027761,0.3979,-0.46099,-0.012798,472.7
-156,0.02783,0.40002,-0.22555,-0.0062772,480.96
-157,0.027889,0.40229,0.023399,0.0006526,489.86
-158,0.028109,0.40464,0.27092,0.0076153,498.99
-159,0.028326,0.407,0.50063,0.014181,507.85
-160,0.02857,0.40931,0.69925,0.019977,516.01
-161,0.028934,0.41152,0.85393,0.024708,523.07
-162,0.029296,0.41357,0.95609,0.02801,528.59
-163,0.029677,0.41543,0.99895,0.029646,532.22
